t_start_s,t_stop_s,t_mid_s,eeg_rms_mean,eeg_std_mean,eeg_line_length_mean,eeg_peak_to_peak_mean,eeg_zero_cross_mean,eeg_clip_frac_mean,eeg_channel_agreement_std,aux_rms,aux_std,aux_line_length,aux_peak_to_peak,aux_clip_frac,z_eeg_rms,z_eeg_line_length,z_eeg_peak_to_peak,z_aux_line_length,z_aux_peak_to_peak,z_clip_penalty,seizure_score,seizure_flag
0.0,1.998046875,0.9990234375,92.31684483896834,87.76777142987372,20251.666666666668,282.0,181.66666666666666,0.08626302083333333,17025.532323216474,0.13975424859373686,0.1390838949482807,18.0,3.0,0.98828125,-0.17840794954932307,1.5848358771214088,-0.19113634600971624,-0.610591634894602,-0.5395926075812763,0.24371045161365404,0.4143242100680346,False
0.5,2.498046875,1.4990234375,89.09690766760217,88.10736342524262,19313.666666666668,281.0,178.66666666666666,0.08854166666666667,15834.709940156432,0.13975424859373686,0.1390838949482807,18.0,3.0,0.98828125,-0.22241205689151936,1.4365243321190928,-0.1966498944523042,-0.610591634894602,-0.5395926075812763,0.24734792104072373,0.3421683616576277,False
1.0,2.998046875,1.9990234375,88.28797933239122,85.80183711833864,18568.333333333332,284.0,180.66666666666666,0.0693359375,14979.822258254233,0.13975424859373686,0.1390838949482807,18.0,3.0,0.98828125,-0.23346698355633497,1.318676210361744,-0.1801092491245403,-0.610591634894602,-0.5395926075812763,0.21668925015542384,0.30170524453109704,False
1.5,3.498046875,2.4990234375,81.83297337892438,81.03259232040499,19305.666666666668,277.3333333333333,181.0,0.07552083333333333,16019.774807683438,1.2542895150243423,1.188337733263713,122.0,7.0,0.8662109375,-0.3216819889287393,1.4352594148909281,-0.21686623874179356,-0.24139669286530777,-0.35972840505418413,0.03169794786446254,0.4018443418636953,False
2.0,3.998046875,2.9990234375,82.23912622064016,79.33699060547,18491.333333333332,278.3333333333333,141.66666666666666,0.064453125,15144.590548736829,1.2464794171986957,1.184653232876831,104.0,7.0,0.8779296875,-0.3161314479420603,1.3065013820406581,-0.2113526902992056,-0.305295817447301,-0.35972840505418413,0.032737224843625186,0.3462337058047428,False
2.5,4.498046875,3.4990234375,85.2200650330585,81.8898575767174,18428.666666666668,282.6666666666667,116.0,0.049479166666666664,15114.700511606427,1.2464794171986957,1.184653232876831,104.0,7.0,0.8779296875,-0.27539352527429556,1.2965928637533681,-0.1874606470479908,-0.305295817447301,-0.35972840505418413,0.008833854322882927,0.36201386191115936,False
3.0,4.998046875,3.9990234375,96.82568071652837,90.98179894464702,18209.333333333332,320.0,81.33333333333333,0.046875,14703.343663564721,1.2558457060881325,1.188655491871776,115.0,7.0,0.86328125,-0.11678957397700827,1.261913049747851,0.01837849480862679,-0.2662463524249718,-0.35972840505418413,-0.018706985624928677,0.43837386699639314,False
3.5,5.498046875,4.4990234375,105.89572303227642,104.67694630307214,15992.666666666666,396.6666666666667,46.666666666666664,0.09440104166666667,11751.62971203947,0.21650635094610965,0.21394520908455597,18.0,3.0,0.97265625,0.007162880502437401,0.9114255677772038,0.44108387540703825,-0.610591634894602,-0.5395926075812763,0.23175876635328319,0.3201871751787178,False
4.0,5.998046875,4.9990234375,102.61955737074622,102.22820191876384,15487.666666666666,404.6666666666667,42.666666666666664,0.09114583333333333,10963.781535380736,0.21650635094610965,0.21394520908455597,18.0,3.0,0.97265625,-0.03760965317393419,0.8315776677493044,0.48519226294774204,-0.610591634894602,-0.5395926075812763,0.22656238145746943,0.2869158362357687,False
4.5,6.498046875,5.4990234375,99.37176685271727,98.9354933912794,16073.333333333334,404.3333333333333,71.0,0.0947265625,11921.336064198322,0.21650635094610965,0.21394520908455597,18.0,3.0,0.97265625,-0.08199440820928669,0.9241801498278651,0.4833544134668792,-0.610591634894602,-0.5395926075812763,0.2322784048428644,0.3113498657351033,False
5.0,6.998046875,5.9990234375,94.82966486514147,91.12688369490057,17531.0,375.6666666666667,114.0,0.09830729166666667,14161.492459012456,0.15309310892394862,0.15229366163764005,7.0,3.0,0.9873046875,-0.14406740304840235,1.1546586097763825,0.3252993581126908,-0.6496410999169312,-0.5395926075812763,0.26137816025942023,0.3466870923483496,False
5.5,7.498046875,6.4990234375,76.46068885856012,75.09751275204245,19751.333333333332,268.6666666666667,150.33333333333334,0.06412760416666667,17027.61592890274,0.46140072063229376,0.4513663000991926,40.0,3.0,0.9462890625,-0.3951003732404514,1.5057258454766052,-0.26465032524422244,-0.5324927048499436,-0.5395926075812763,0.1413416691661279,0.3420879451344011,False
6.0,7.998046875,6.9990234375,74.82252262496246,74.52802236046482,21341.0,263.0,178.0,0.07877604166666667,19022.060053176854,0.46140072063229376,0.4513663000991926,40.0,3.0,0.9462890625,-0.4174877798732981,1.757075439689841,-0.29589376641888776,-0.5324927048499436,-0.5395926075812763,0.16472540119728876,0.42610549652031837,False
6.5,8.498046875,7.4990234375,93.58261341412016,90.18119996578804,23152.333333333332,328.3333333333333,172.0,0.08203125,21281.487578540076,0.46140072063229376,0.4513663000991926,40.0,3.0,0.9462890625,-0.16110978089352673,2.043473782100141,0.06432473183019313,-0.5324927048499436,-0.5395926075812763,0.16992178609310216,0.6757637559000348,False
7.0,8.998046875,7.9990234375,135.70485095068415,122.79106582447587,24399.0,374.0,130.66666666666666,0.09928385416666667,22568.315237665985,0.46140072063229376,0.4513663000991926,40.0,3.0,0.9462890625,0.4145385511719152,2.240590050155814,0.3161101107083774,-0.5324927048499436,-0.5395926075812763,0.19746262604091394,0.9433712539247389,False
7.5,9.498046875,8.4990234375,160.95306876919173,130.75895708589573,25511.333333333332,375.6666666666667,106.0,0.1064453125,23897.199701127236,0.0,0.0,0.0,0.0,1.0,0.7595841927343469,2.41646624975522,0.3252993581126908,-0.6744907594765953,-0.6744907594765952,0.29463502359262667,1.061441801068198,False
8.0,9.998046875,8.9990234375,174.9200110254683,123.16995867661267,26519.666666666668,367.0,88.33333333333333,0.11295572916666667,25148.3893895591,0.0,0.0,0.0,0.0,1.0,0.9504583600171469,2.5758985253884843,0.27751527161026157,-0.6744907594765953,-0.6744907594765952,0.30502779338425384,1.1612978818833926,False
8.5,10.498046875,9.4990234375,180.20845095760183,112.34639225800619,26963.333333333332,322.0,76.0,0.12337239583333333,25322.471974293683,0.0,0.0,0.0,0.0,1.0,1.0227309125737,2.64604872666712,0.02940559169380274,-0.6744907594765953,-0.6744907594765952,0.32165622505085684,1.154478478217373,False
9.0,10.998046875,9.9990234375,168.8587724594957,111.10047965589179,27109.666666666668,314.6666666666667,84.33333333333333,0.12727864583333334,25379.041344297373,0.0,0.0,0.0,0.0,1.0,0.8676246342986559,2.669186170965634,-0.011027096885175634,-0.6744907594765953,-0.6744907594765952,0.3278918869258331,1.1156232162772264,False
9.5,11.498046875,10.4990234375,154.70513744342227,105.01548341703388,27203.666666666668,304.3333333333333,77.33333333333333,0.13248697916666666,25226.058118981295,0.0,0.0,0.0,0.0,1.0,0.6741990979036985,2.68404894839657,-0.06800043079191824,-0.6744907594765953,-0.6744907594765952,0.336206102759135,1.0601544332028527,False
10.0,11.998046875,10.9990234375,146.84163449745085,104.15349230330817,27398.333333333332,303.6666666666667,80.66666666666667,0.1328125,25508.70455789988,0.0,0.0,0.0,0.0,1.0,0.5667353775562018,2.7148286009485783,-0.07167612975364335,-0.6744907594765953,-0.6744907594765952,0.3367257412487162,1.0447612966465205,False
10.5,12.498046875,11.4990234375,141.88776712641314,106.81803366613991,27428.666666666668,297.6666666666667,76.33333333333333,0.13118489583333334,25644.623001496606,0.0,0.0,0.0,0.0,1.0,0.4990351399575727,2.7196247454387033,-0.1047574204091712,-0.6744907594765953,-0.6744907594765952,0.3341275488008093,1.023658075401389,False
11.0,12.998046875,11.9990234375,134.27366230665098,104.77363160313797,27503.666666666668,286.3333333333333,86.33333333333333,0.1318359375,25612.46522474728,0.0,0.0,0.0,0.0,1.0,0.39497972894426053,2.7314833444527475,-0.16724430275850177,-0.6744907594765953,-0.6744907594765952,0.33516682577997214,0.9896824303879801,False
11.5,13.498046875,12.4990234375,126.93320127171556,102.7387753501539,27531.0,284.6666666666667,99.66666666666667,0.1318359375,25690.265588350776,0.0,0.0,0.0,0.0,1.0,0.2946639717938006,2.73580514498231,-0.17643355016281487,-0.6744907594765953,-0.6744907594765952,0.33516682577997214,0.9644943618313275,False
12.0,13.998046875,12.9990234375,121.53154839238867,101.94899248984143,27422.666666666668,286.3333333333333,104.33333333333333,0.1328125,25554.889425617857,0.0,0.0,0.0,0.0,1.0,0.22084423542101483,2.71867605751758,-0.16724430275850177,-0.6744907594765953,-0.6744907594765952,0.3367257412487162,0.9407138591393528,False
12.5,14.498046875,13.4990234375,117.83009208651352,103.32354025468625,27389.333333333332,286.0,102.66666666666667,0.13248697916666666,25691.684054486497,0.0,0.0,0.0,0.0,1.0,0.17025962089666602,2.713405569066893,-0.16908215223936432,-0.6744907594765953,-0.6744907594765952,0.336206102759135,0.9256958679297344,False
13.0,14.998046875,13.9990234375,114.77949300829907,103.24637553057408,27186.0,284.0,98.0,0.13151041666666666,25729.547230113993,0.0,0.0,0.0,0.0,1.0,0.12856971138864973,2.681255589517706,-0.1801092491245403,-0.6744907594765953,-0.6744907594765952,0.3346471872903909,0.9005197624497692,False
13.5,15.498046875,14.4990234375,112.00903920976033,105.27900368364745,27146.666666666668,290.6666666666667,99.0,0.1318359375,25712.791593982078,0.0,0.0,0.0,0.0,1.0,0.09070830607254254,2.675036413145896,-0.14335225950728703,-0.6744907594765953,-0.6744907594765952,0.33516682577997214,0.8958142107975531,False
14.0,15.998046875,14.9990234375,110.17676383338483,106.37483504828266,27220.666666666668,301.3333333333333,93.0,0.13118489583333334,25757.07452763652,0.0,0.0,0.0,0.0,1.0,0.06566817701055781,2.68673689750642,-0.08454107611968216,-0.6744907594765953,-0.6744907594765952,0.3341275488008093,0.90620446434962,False
14.5,16.498046875,15.4990234375,113.61564690639875,110.72098352171281,27040.0,339.3333333333333,91.66666666666667,0.13216145833333334,25318.114042453213,0.0,0.0,0.0,0.0,1.0,0.1126644293684763,2.658170850103699,0.12497376469866085,-0.6744907594765953,-0.6744907594765952,0.33568646426955334,0.9481182935479309,False
15.0,16.998046875,15.9990234375,132.5979519463249,126.48962404562405,26705.0,420.6666666666667,77.33333333333333,0.1357421875,25169.81195797855,0.0,0.0,0.0,0.0,1.0,0.3720792390757167,2.605202441174301,0.5734090380291497,-0.6744907594765953,-0.6744907594765952,0.34140248765494835,1.0803284823920005,False
15.5,17.498046875,16.4990234375,157.5385473947234,152.13614419989358,26170.333333333332,481.6666666666667,58.0,0.1552734375,24951.237475435075,0.0,0.0,0.0,0.0,1.0,0.712920870722825,2.5206638064252904,0.9097354930270161,-0.6744907594765953,-0.6744907594765952,0.3725807970298295,1.1927530655287706,False
16.0,17.998046875,16.9990234375,164.34121886805548,162.15082799523947,24568.666666666668,483.3333333333333,44.666666666666664,0.1640625,22693.748542030004,0.0,0.0,0.0,0.0,1.0,0.8058871212410592,2.267416836369808,0.9189247404313291,-0.6744907594765953,-0.6744907594765952,0.386611036248526,1.1137276417732593,False
16.5,18.498046875,17.4990234375,161.818711557415,159.63800975813533,24365.0,483.3333333333333,43.666666666666664,0.1591796875,22528.82000164826,0.0,0.0,0.0,0.0,1.0,0.771414186968928,2.2352141519361135,0.9189247404313291,-0.6744907594765953,-0.6744907594765952,0.3788164589048057,1.0937872499004928,False
17.0,18.998046875,17.9990234375,149.17878568429038,145.62765680182403,24096.666666666668,483.3333333333333,48.666666666666664,0.15071614583333334,22073.3812895885,0.0,0.0,0.0,0.0,1.0,0.5986752093688184,2.192786719908088,0.9189247404313291,-0.6744907594765953,-0.6744907594765952,0.36530585817569045,1.0363336528350782,False
17.5,19.498046875,18.4990234375,122.65644329564823,121.68155337172765,23685.666666666668,382.6666666666667,49.0,0.11751302083333333,21434.912912245658,0.0,0.0,0.0,0.0,1.0,0.2362172049658588,2.1278015973111244,0.3638941972108066,-0.6744907594765953,-0.6744907594765952,0.3123027322383925,0.819319619238908,False
18.0,19.998046875,18.9990234375,97.36678464336994,94.36356213984222,23741.666666666668,325.0,76.0,0.0986328125,21925.977353105354,0.0,0.0,0.0,0.0,1.0,-0.10939477277040029,2.1366560179082774,0.04594623702156666,-0.6744907594765953,-0.6744907594765952,0.2821636998426742,0.6788966074850001,False
18.5,20.498046875,19.4990234375,88.06397168323146,83.7665190107318,22317.333333333332,288.6666666666667,113.33333333333333,0.09244791666666667,20440.223454964693,0.0,0.0,0.0,0.0,1.0,-0.2365283031146035,1.9114480464104462,-0.15437935639246297,-0.6744907594765953,-0.6744907594765952,0.27229056854062866,0.51893954387742,False
19.0,20.998046875,19.9990234375,83.11915678234574,80.18130070785382,21679.0,286.6666666666667,138.33333333333334,0.0849609375,19401.84740344761,0.0,0.0,0.0,0.0,1.0,-0.30410482840237674,1.8105181925798013,-0.16540645327763892,-0.6744907594765953,-0.6744907594765952,0.26033888328025745,0.46185838869825774,False
19.5,21.498046875,20.4990234375,74.6669177966724,72.08960225028969,20801.333333333332,264.0,168.66666666666666,0.0849609375,18146.56085567976,0.0,0.0,0.0,0.0,1.0,-0.4196142970078343,1.6717462316732277,-0.29038021797629976,-0.6744907594765953,-0.6744907594765952,0.26033888328025745,0.3524774842445318,False
20.0,21.998046875,20.9990234375,75.4596275028283,71.09552590538628,21180.666666666668,248.0,151.0,0.07584635416666667,18676.687328205597,0.0,0.0,0.0,0.0,1.0,-0.40878101637395003,1.7317243902420394,-0.37859699305770733,-0.6744907594765953,-0.6744907594765952,0.2457890055719797,0.3644436883559017,False
20.5,22.498046875,21.4990234375,80.16208077054355,74.32126319694603,22568.0,247.33333333333334,132.66666666666666,0.07942708333333333,20242.070892080188,0.0,0.0,0.0,0.0,1.0,-0.3445166387319453,1.9510821195596084,-0.3822726920194326,-0.6744907594765953,-0.6744907594765952,0.2515050289573743,0.4663745300240064,False
21.0,22.998046875,21.9990234375,84.00644094427602,76.43302932855477,23327.666666666668,243.33333333333334,131.0,0.083984375,21429.69729656073,0.0,0.0,0.0,0.0,1.0,-0.29197908015740554,2.071196551350752,-0.40432688578978454,-0.6744907594765953,-0.6744907594765952,0.25877996781151336,0.5216888658592007,False
21.5,23.498046875,22.4990234375,86.94981611595735,80.46590874656539,24513.666666666668,247.0,124.0,0.08984375,22947.12161083002,0.0,0.0,0.0,0.0,1.0,-0.2517545074064823,2.2587205304261753,-0.38411054150029533,-0.6744907594765953,-0.6744907594765952,0.2681334606239777,0.6089271709725056,False
22.0,23.998046875,22.9990234375,88.86804689321566,83.7757211480249,25344.666666666668,252.33333333333334,136.66666666666666,0.10774739583333333,23797.286348564103,0.0,0.0,0.0,0.0,1.0,-0.22553969993128992,2.390113807501788,-0.35470494980649275,-0.6744907594765953,-0.6744907594765952,0.29671357755095196,0.6682032786249144,False
22.5,24.498046875,23.4990234375,94.73741748885827,88.44888709187103,25520.666666666668,264.6666666666667,123.33333333333333,0.11100260416666667,24156.716406737803,0.0,0.0,0.0,0.0,1.0,-0.14532806846886442,2.417941986521412,-0.28670451901457433,-0.6744907594765953,-0.6744907594765952,0.3019099624467657,0.7119482672775914,False
23.0,24.998046875,23.9990234375,99.13883756430594,92.6632487174586,26017.333333333332,272.3333333333333,101.0,0.11490885416666667,24734.973786568327,0.0,0.0,0.0,0.0,1.0,-0.0851776521252059,2.4964722644366395,-0.24443398095473343,-0.6744907594765953,-0.6744907594765952,0.3081456243217419,0.76560495776657,False
23.5,25.498046875,24.4990234375,104.33513068391022,96.10233081601406,26638.666666666668,272.6666666666667,106.66666666666667,0.12076822916666667,25385.764414113844,0.0,0.0,0.0,0.0,1.0,-0.014164390670925215,2.594714169157435,-0.24259613147387055,-0.6744907594765953,-0.6744907594765952,0.31749911713420625,0.8211519063521381,False
24.0,25.998046875,24.9990234375,107.97834730057765,98.52670232890567,26849.666666666668,272.3333333333333,96.33333333333333,0.12174479166666667,25660.59955565254,0.0,0.0,0.0,0.0,1.0,0.03562431219456799,2.62807636105028,-0.24443398095473343,-0.6744907594765953,-0.6744907594765952,0.31905803260295035,0.8462646058357279,False
24.5,26.498046875,25.4990234375,106.6310389141458,98.5240395953444,27038.666666666668,272.3333333333333,90.33333333333333,0.12565104166666666,25866.11272602738,0.0,0.0,0.0,0.0,1.0,0.017211809184630764,2.657960030565672,-0.24443398095473343,-0.6744907594765953,-0.6744907594765952,0.32529369447792655,0.8523678155144051,False
25.0,26.998046875,25.9990234375,107.03846448230958,99.03431143090758,26930.0,276.0,97.33333333333333,0.1298828125,25658.114544915414,0.0,0.0,0.0,0.0,1.0,0.0227797434272195,2.640778238216434,-0.22421763666524408,-0.6744907594765953,-0.6744907594765952,0.332048994842484,0.8495792909203435,False
25.5,27.498046875,26.4990234375,107.30351235136528,100.56786768001062,26976.0,286.0,90.33333333333333,0.13053385416666666,25682.13511373227,0.0,0.0,0.0,0.0,1.0,0.026401924314618366,2.648051512278381,-0.16908215223936432,-0.6744907594765953,-0.6744907594765952,0.33308827182164685,0.8642133872563156,False
26.0,27.998046875,26.9990234375,111.97256172836622,106.4379932451174,27204.0,317.3333333333333,92.66666666666667,0.1298828125,25921.16216530424,0.0,0.0,0.0,0.0,1.0,0.09020979975971329,2.6841016532810764,0.0036756989617254205,-0.6744907594765953,-0.6744907594765952,0.332048994842484,0.9293448381547178,False
26.5,28.498046875,27.4990234375,112.06537699640087,107.09436989430516,27112.0,317.3333333333333,117.0,0.13053385416666666,25704.853095605635,0.0,0.0,0.0,0.0,1.0,0.09147822606750326,2.669555105157182,0.0036756989617254205,-0.6744907594765953,-0.6744907594765952,0.33308827182164685,0.923635470086275,False
27.0,28.998046875,27.9990234375,112.52830721199005,108.76418393209615,27308.0,323.6666666666667,120.66666666666667,0.13151041666666666,25962.225341188812,0.0,0.0,0.0,0.0,1.0,0.09780469450914973,2.700545577247218,0.03859483909811613,-0.6744907594765953,-0.6744907594765952,0.3346471872903909,0.9442853209662303,False
27.5,29.498046875,28.4990234375,113.2675049974768,109.0991100742204,27194.333333333332,323.6666666666667,110.66666666666667,0.1318359375,25677.664513909534,0.0,0.0,0.0,0.0,1.0,0.1079066738238181,2.6825732116303773,0.03859483909811613,-0.6744907594765953,-0.6744907594765952,0.33516682577997214,0.9395179418502448,False
28.0,29.998046875,28.9990234375,107.89302545979483,104.21797521903592,27182.0,294.6666666666667,130.33333333333334,0.13216145833333334,25689.190930558063,0.0,0.0,0.0,0.0,1.0,0.03445829210143424,2.6806231309036237,-0.12129806573693512,-0.6744907594765953,-0.6744907594765952,0.33568646426955334,0.888293305464021,False
28.5,30.498046875,29.4990234375,107.86939996358107,104.73346590662992,27178.666666666668,295.3333333333333,123.0,0.130859375,25861.39683432088,0.0,0.0,0.0,0.0,1.0,0.034135422798067805,2.680096082058555,-0.11762236677521001,-0.6744907594765953,-0.6744907594765952,0.33360791031122805,0.889152619184162,False
29.0,30.998046875,29.9990234375,110.50676887925097,105.30499702001644,27038.666666666668,301.6666666666667,114.0,0.12955729166666666,25693.67751456031,0.0,0.0,0.0,0.0,1.0,0.07017807167275676,2.657960030565672,-0.0827032266388193,-0.6744907594765953,-0.6744907594765952,0.33152935635290276,0.8967083996246242,False
29.5,31.498046875,30.4990234375,115.08659304933042,108.45582145178311,27071.666666666668,315.3333333333333,109.66666666666667,0.13053385416666666,25815.306342469685,0.0,0.0,0.0,0.0,1.0,0.13276658308245443,2.663177814131852,-0.007351397923450528,-0.6744907594765953,-0.6744907594765952,0.33308827182164685,0.9292012235528455,False
30.0,31.998046875,30.9990234375,124.47374880210863,113.89514360741562,26857.333333333332,354.0,83.0,0.1318359375,25518.412624787008,0.0,0.0,0.0,0.0,1.0,0.2610527537122706,2.6292885733939375,0.20583914185661792,-0.6744907594765953,-0.6744907594765952,0.33516682577997214,0.9899394670794823,False
30.5,32.498046875,31.4990234375,135.3874332384791,132.06106730564355,27031.0,393.0,61.0,0.1279296875,25398.011037612112,0.0,0.0,0.0,0.0,1.0,0.4102006767548629,2.656747818222014,0.42086753111754893,-0.6744907594765953,-0.6744907594765952,0.3289311639049959,1.0824629559985424,False
31.0,32.998046875,31.9990234375,168.05333042713002,161.83770032220454,26522.333333333332,471.6666666666667,55.666666666666664,0.12109375,25229.473060071803,0.0,0.0,0.0,0.0,1.0,0.8566173519313734,2.576320164464539,0.8546000086011363,-0.6744907594765953,-0.6744907594765952,0.3180187556237875,1.2508250404426393,False
31.5,33.498046875,32.4990234375,192.0163756832043,167.00321388820814,25427.0,471.6666666666667,51.333333333333336,0.12272135416666667,24650.412897150425,0.0,0.0,0.0,0.0,1.0,1.184099647260386,2.403131913974983,0.8546000086011363,-0.6744907594765953,-0.6744907594765952,0.3206169480716944,1.2629006755894885,False
32.0,33.998046875,32.9990234375,186.27395134924157,146.30122561955724,24693.0,412.0,75.66666666666667,0.11458333333333333,24071.497626861525,0.0,0.0,0.0,0.0,1.0,1.1056228809920168,2.287075758290868,0.5256249515267204,-0.6744907594765953,-0.6744907594765952,0.30762598583216033,1.1336622027817742,False
32.5,34.498046875,33.4990234375,177.5811416340795,148.9965853786099,24066.333333333332,406.3333333333333,115.33333333333333,0.1103515625,23816.337394504826,0.0,0.0,0.0,0.0,1.0,0.9868257394785439,2.187990575417963,0.49438151035205513,-0.6744907594765953,-0.6744907594765952,0.30087068546760287,1.0594312160922226,False
